Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-10 11:00:00,126643.36,127118.9,126309.1,126554.8,0.0,0.0,0.0
2025-04-10 12:00:00,126549.97,126755.08,125835.85,125898.81,0.0,0.0,0.0
2025-04-10 13:00:00,125840.89,125933.5,124894.76,125850.46,0.0,0.0,0.0
2025-04-10 14:00:00,126004.86,126396.41,125323.98,126190.04,0.0,0.0,0.0
2025-04-10 15:00:00,126202.29,126647.63,125995.21,126255.41,0.0,0.0,0.0
2025-04-10 16:00:00,126219.53,126582.55,125509.46,125966.59,0.0,0.0,0.0
2025-04-11 10:00:00,126354.75,127153.57,126121.06,126895.04,0.0,0.0,0.0
2025-04-11 11:00:00,126843.65,127100.81,126078.39,126536.12,0.0,0.0,0.0
2025-04-11 12:00:00,126520.88,127033.2,126206.39,126842.48,0.0,0.0,0.0
2025-04-11 13:00:00,126843.01,127661.7,126739.56,127593.05,0.0,0.0,0.0
2025-04-11 14:00:00,127563.12,128385.96,127143.09,128054.68,0.0,0.0,0.0
2025-04-11 15:00:00,128104.41,128171.41,127843.33,128016.89,0.0,0.0,0.0
2025-04-11 16:00:00,128022.23,128320.36,128003.4,128013.26,0.0,0.0,0.0
2025-04-14 10:00:00,127682.58,129477.59,127682.58,129073.11,0.0,0.0,0.0
2025-04-14 11:00:00,129095.71,129424.19,128751.89,128831.12,0.0,0.0,0.0
2025-04-14 12:00:00,128828.86,129209.27,128472.04,128752.02,0.0,0.0,0.0
2025-04-14 13:00:00,128699.69,128985.56,128414.29,128791.7,0.0,0.0,0.0
2025-04-14 14:00:00,128796.74,129383.94,128796.74,129239.89,0.0,0.0,0.0
2025-04-14 15:00:00,129206.55,129853.56,129198.22,129788.72,0.0,0.0,0.0
2025-04-14 16:00:00,129795.36,129955.35,129584.26,129626.65,0.0,0.0,0.0
2025-04-15 10:00:00,129452.31,129853.71,129285.63,129590.16,0.0,0.0,0.0
2025-04-15 11:00:00,129745.04,129903.0,128951.12,129277.3,0.0,0.0,0.0
2025-04-15 12:00:00,129208.78,129547.85,129147.5,129489.1,0.0,0.0,0.0
2025-04-15 13:00:00,129529.59,129927.08,129375.18,129410.68,0.0,0.0,0.0
2025-04-15 14:00:00,129452.48,129670.1,129009.14,129122.05,0.0,0.0,0.0
2025-04-15 15:00:00,129140.77,129346.46,129028.15,129098.28,0.0,0.0,0.0
2025-04-15 16:00:00,129072.58,129453.91,129051.29,129203.77,0.0,0.0,0.0
2025-04-16 10:00:00,129244.71,129244.71,128564.75,128634.73,0.0,0.0,0.0
2025-04-16 11:00:00,128624.76,128986.89,128159.2,128335.01,0.0,0.0,0.0
2025-04-16 12:00:00,128354.88,128828.02,128354.88,128723.9,0.0,0.0,0.0
2025-04-16 13:00:00,128733.39,129088.36,128411.96,129088.36,0.0,0.0,0.0
2025-04-16 14:00:00,129033.85,129605.01,128459.13,128459.13,0.0,0.0,0.0
2025-04-16 15:00:00,128435.4,129128.62,128435.4,128804.88,0.0,0.0,0.0
2025-04-16 16:00:00,128789.66,129245.39,128149.1,128363.5,0.0,0.0,0.0
2025-04-17 10:00:00,128315.56,128880.98,127973.14,128815.51,0.0,0.0,0.0
2025-04-17 11:00:00,128804.26,129083.1,128505.94,128905.31,0.0,0.0,0.0
2025-04-17 12:00:00,128910.45,129511.87,128910.45,129258.43,0.0,0.0,0.0
2025-04-17 13:00:00,129252.55,129826.86,129252.55,129731.78,0.0,0.0,0.0
2025-04-17 14:00:00,129723.38,129894.62,129439.1,129718.6,0.0,0.0,0.0
2025-04-17 15:00:00,129742.28,130090.65,129713.16,129885.13,0.0,0.0,0.0
2025-04-17 16:00:00,129855.16,129871.51,129522.02,129593.77,0.0,0.0,0.0
2025-04-22 10:00:00,129650.03,129653.49,128725.59,129254.87,0.0,0.0,0.0
2025-04-22 11:00:00,129258.44,130293.64,129152.49,130251.99,0.0,0.0,0.0
2025-04-22 12:00:00,130248.17,130583.11,130188.9,130583.11,0.0,0.0,0.0
2025-04-22 13:00:00,130589.92,130842.93,130390.42,130469.34,0.0,0.0,0.0
2025-04-22 14:00:00,130463.62,130575.79,130107.84,130207.94,0.0,0.0,0.0
2025-04-22 15:00:00,130212.34,130861.24,129650.03,129650.03,0.0,0.0,0.0
2025-04-22 16:00:00,130802.37,130859.8,130641.6,130718.07,0.0,0.0,0.0
2025-04-23 10:00:00,130467.91,133006.7,130467.91,132891.41,0.0,0.0,0.0
2025-04-23 11:00:00,133012.88,133207.42,132597.38,133101.58,0.0,0.0,0.0
2025-04-23 12:00:00,133151.16,133318.05,132667.97,132876.23,0.0,0.0,0.0
2025-04-23 13:00:00,132885.64,132917.47,132278.16,132616.77,0.0,0.0,0.0
2025-04-23 14:00:00,132631.05,132752.8,132368.14,132667.62,0.0,0.0,0.0
2025-04-23 15:00:00,132637.78,132737.02,132473.56,132589.16,0.0,0.0,0.0
2025-04-23 16:00:00,132567.03,132690.17,132316.88,132459.19,0.0,0.0,0.0
2025-04-24 10:00:00,132245.05,133316.38,132223.45,132815.17,0.0,0.0,0.0
2025-04-24 11:00:00,132786.75,133184.14,132585.44,133124.81,0.0,0.0,0.0
2025-04-24 12:00:00,133123.38,134040.12,133123.38,134000.11,0.0,0.0,0.0
2025-04-24 13:00:00,133990.38,134549.75,133930.64,134431.31,0.0,0.0,0.0
2025-04-24 14:00:00,134419.58,134623.59,134140.06,134496.34,0.0,0.0,0.0
2025-04-24 15:00:00,134537.86,134937.55,134519.89,134744.12,0.0,0.0,0.0
2025-04-24 16:00:00,134713.81,134754.44,134440.02,134497.84,0.0,0.0,0.0
2025-04-25 10:00:00,134579.2,134849.72,134252.5,134366.55,0.0,0.0,0.0
2025-04-25 11:00:00,134299.55,134992.22,134299.55,134855.84,0.0,0.0,0.0
2025-04-25 12:00:00,134869.55,134869.55,134454.09,134668.81,0.0,0.0,0.0
2025-04-25 13:00:00,134685.08,134784.02,134472.19,134513.56,0.0,0.0,0.0
2025-04-25 14:00:00,134515.44,134616.72,134186.44,134376.8,0.0,0.0,0.0
2025-04-25 15:00:00,134362.48,134883.48,134336.55,134645.84,0.0,0.0,0.0
2025-04-25 16:00:00,134614.61,134840.58,134552.77,134840.58,0.0,0.0,0.0
2025-04-28 10:00:00,134740.88,135390.77,134711.09,135170.69,0.0,0.0,0.0
